Unique_Scientific_Name,Wing_Chord,Bill_Depth
Aburria_aburri,325,9.8
Aburria_aburri,336,9
Aburria_aburri,NA,11.6
Aburria_aburri,343,11.3
Aburria_aburri,334,12
Aburria_aburri,354,10.3
Aburria_aburri,291,8
Aburria_aburri,359,10
Acanthidops_bairdii,68,5.8
Acanthidops_bairdii,67,5.4
Acanthidops_bairdii,68,5.1
Acanthidops_bairdii,61,4.9
Acanthisitta_chloris,41,2.4
Acanthisitta_chloris,44,2.4
Acanthisitta_chloris,44,2.4
Acanthisitta_chloris,48,2.3
Acanthisitta_chloris,58,NA
Acanthiza_apicalis,51.5,3
Acanthiza_apicalis,53.5,2.9
Acanthiza_apicalis,48,2.6
Acanthiza_apicalis,48.5,2.7
Acanthiza_chrysorrhoa,61,3
Acanthiza_chrysorrhoa,58,2.8
Acanthiza_chrysorrhoa,55,2.4
Acanthiza_chrysorrhoa,59,2.6
Acanthiza_chrysorrhoa,58.7,NA
Acanthiza_ewingii,49,2.5
Acanthiza_ewingii,52,2.5
Acanthiza_ewingii,50,2.6
Acanthiza_ewingii,52,2.5
Acanthiza_inornata,47.5,3.1
Acanthiza_inornata,46.5,2.8
Acanthiza_inornata,47,3.2
Acanthiza_inornata,47,2.9
Acanthiza_iredalei,48,2.6
Acanthiza_iredalei,48,2.6
Acanthiza_iredalei,46,2.3
Acanthiza_iredalei,46,2.4
Acanthiza_katherina,53.5,2.7
Acanthiza_katherina,50,2.7
Acanthiza_lineata,50.5,3.3
Acanthiza_lineata,52,3
Acanthiza_lineata,50,3
Acanthiza_lineata,45,2.8
Acanthiza_lineata,50.7,NA
Acanthiza_murina,56.5,3.4
Acanthiza_murina,57,2.8
Acanthiza_murina,58,2.9
Acanthiza_murina,58,2.7
Acanthiza_murina,54,3
Acanthiza_nana,52,3.1
Acanthiza_nana,50,3
Acanthiza_nana,49.5,3.1
Acanthiza_nana,47,2.9
Acanthiza_pusilla,50,2.2
Acanthiza_pusilla,50,2.5
Acanthiza_pusilla,51,2.8
Acanthiza_pusilla,56,2.9
Acanthiza_pusilla,51.8,NA
Acanthiza_reguloides,51,2.8
Acanthiza_reguloides,52,3.2
Acanthiza_reguloides,52,2.9
Acanthiza_reguloides,53,2.9
Acanthiza_reguloides,51.6,NA
Acanthiza_robustirostris,52,3
Acanthiza_robustirostris,49,2.7
Acanthiza_robustirostris,46.5,2.7
Acanthiza_robustirostris,54,2.8
Acanthiza_uropygialis,52.5,2.5
Acanthiza_uropygialis,51.5,2.5
Acanthiza_uropygialis,54,2.4
Acanthiza_uropygialis,52,2.2
Acanthorhynchus_superciliosus,61,2.2
Acanthorhynchus_superciliosus,58,2.2
Acanthorhynchus_superciliosus,60,3
Acanthorhynchus_superciliosus,59,2.9
Acanthorhynchus_tenuirostris,72,2.5
Acanthorhynchus_tenuirostris,70,2.9
Acanthorhynchus_tenuirostris,65,2.3
Acanthorhynchus_tenuirostris,68,2.7
Acanthorhynchus_tenuirostris,64.9,NA
Achaetops_pycnopygius,69,4.7
Achaetops_pycnopygius,66,4.5
Achaetops_pycnopygius,66.5,4.5
Achaetops_pycnopygius,67,4.4
Acridotheres_burmannicus,112,5.9
Acridotheres_burmannicus,107,5.5
Acridotheres_burmannicus,119,6.1
Acridotheres_burmannicus,117,6.2
Acridotheres_cinereus,130.5,7.9
Acridotheres_cinereus,124,6.9
Acridotheres_cinereus,116,7.1
Acridotheres_cinereus,133,7.9
Acridotheres_cristatellus,134,8.7
Acridotheres_cristatellus,130,8.3
Acridotheres_cristatellus,133.5,7.6
Acridotheres_cristatellus,128,7.9
Acridotheres_fuscus,127,7
Acridotheres_fuscus,117,7.5
Acridotheres_fuscus,125,7.3
Acridotheres_fuscus,128,7.3
Acridotheres_ginginianus,117.5,6.2
Acridotheres_ginginianus,123,6.8
Acridotheres_ginginianus,124,6.6
Acridotheres_ginginianus,114,6.5
Acridotheres_grandis,134,7.2
Acridotheres_grandis,136,8.6
Acridotheres_grandis,139,8
Acridotheres_grandis,129.5,7.8
