"","x"
"1","Aburria aburri"
"2","Acanthidops bairdii"
"3","Acanthisitta chloris"
"4","Acanthiza apicalis"
"5","Acanthiza chrysorrhoa"
"6","Acanthiza ewingii"
"7","Acanthiza inornata"
"8","Acanthiza iredalei"
"9","Acanthiza katherina"
"10","Acanthiza lineata"
"11","Acanthiza murina"
"12","Acanthiza nana"
"13","Acanthiza pusilla"
"14","Acanthiza reguloides"
"15","Acanthiza robustirostris"
"16","Acanthiza uropygialis"
"17","Acanthorhynchus superciliosus"
"18","Acanthorhynchus tenuirostris"
"19","Achaetops pycnopygius"
"20","Acridotheres burmannicus"
"21","Acridotheres cinereus"
"22","Acridotheres cristatellus"
"23","Acridotheres fuscus"
"24","Acridotheres ginginianus"
"25","Acridotheres grandis"
"26","Acridotheres melanopterus"
"27","Acridotheres tristis"
"28","Acrocephalus aequinoctialis"
"29","Acrocephalus agricola"
"30","Acrocephalus arundinaceus"
"31","Acrocephalus atyphus"
"32","Acrocephalus australis"
"33","Acrocephalus bistrigiceps"
"34","Acrocephalus brevipennis"
"35","Acrocephalus concinens"
"36","Acrocephalus dumetorum"
"37","Acrocephalus melanopogon"
"38","Acrocephalus mendanae"
"39","Acrocephalus orinus"
"40","Acrocephalus paludicola"
"41","Acrocephalus palustris"
"42","Acrocephalus rufescens"
"43","Acrocephalus schoenobaenus"
"44","Acrocephalus stentoreus"
"45","Acrocephalus tangorum"
"46","Acropternis orthonyx"
"47","Actinodura egertoni"
"48","Actinodura ramsayi"
"49","Actinodura souliei"
"50","Actinodura waldeni"
"51","Actitis hypoleucos"
"52","Actitis macularius"
"53","Aechmophorus clarkii"
"54","Aechmophorus occidentalis"
"55","Aegithalos concinnus"
"56","Aegithalos fuliginosus"
"57","Aegithalos iouschistos"
"58","Aegithalos leucogenys"
"59","Aegolius acadicus"
"60","Aegolius harrisii"
"61","Aegotheles albertisi"
"62","Aegotheles archboldi"
"63","Aegotheles bennettii"
"64","Aegotheles cristatus"
"65","Aegotheles savesi"
"66","Aegotheles wallacii"
"67","Aegypius monachus"
"68","Afrotis afra"
"69","Afrotis afraoides"
"70","Agapornis fischeri"
"71","Agapornis lilianae"
"72","Agapornis nigrigenis"
"73","Agapornis personatus"
"74","Agapornis pullarius"
"75","Agapornis taranta"
"76","Agelaioides badius"
"77","Agelaioides oreopsar"
"78","Agelaius humeralis"
"79","Agelaius phoeniceus"
"80","Agelaius tricolor"
"81","Agelaius xanthomus"
"82","Agelasticus cyanopus"
"83","Agelasticus xanthophthalmus"
"84","Aglaeactis castelnaudii"
"85","Aglaeactis pamela"
"86","Agriornis albicauda"
"87","Agriornis micropterus"
"88","Agriornis montanus"
"89","Agriornis murinus"
"90","Agropsar philippensis"
"91","Agropsar sturninus"
"92","Aimophila aestivalis"
"93","Aimophila carpalis"
"94","Aimophila cassinii"
"95","Aimophila humeralis"
"96","Aimophila mystacalis"
"97","Aimophila notosticta"
"98","Aimophila quinquestriata"
"99","Aimophila ruficeps"
"100","Aimophila stolzmanni"
"101","Aimophila strigiceps"
"102","Aimophila sumichrasti"
"103","Aix galericulata"
"104","Aix sponsa"
"105","Alcedo atthis"
"106","Alcedo coerulescens"
"107","Alcedo cristata"
"108","Alcedo hercules"
"109","Alcedo meninting"
"110","Alcedo quadribrachys"
"111","Alcedo semitorquata"
"112","Alcedo vintsioides"
"113","Alcippe brunnea"
"114","Alcippe brunneicauda"
"115","Alcippe castaneceps"
"116","Alcippe cinerea"
"117","Alcippe cinereiceps"
"118","Alcippe dubia"
"119","Alcippe grotei"
"120","Alcippe manipurensis"
"121","Alcippe morrisonia"
"122","Alcippe peracensis"
"123","Alcippe rufogularis"
"124","Alcippe striaticollis"
"125","Alcippe vinipectus"
"126","Aleadryas rufinucha"
"127","Alectoris barbara"
"128","Alectoris chukar"
"129","Alectoris graeca"
"130","Alectoris magna"
"131","Alectoris melanocephala"
"132","Alectoris philbyi"
"133","Alectoris rufa"
"134","Alectrurus risora"
"135","Alectrurus tricolor"
"136","Alethe diademata"
"137","Alipiopsitta xanthops"
"138","Alisterus amboinensis"
"139","Alisterus chloropterus"
"140","Alisterus scapularis"
"141","Allenia fusca"
"142","Alopochelidon fucata"
"143","Alopochen aegyptiaca"
"144","Amadina erythrocephala"
"145","Amadina fasciata"
"146","Amalocichla incerta"
"147","Amalocichla sclateriana"
"148","Amandava amandava"
"149","Amandava formosa"
"150","Amandava subflava"
"151","Amaurocichla bocagii"
"152","Amazona agilis"
"153","Amazona albifrons"
"154","Amazona amazonica"
"155","Amazona arausiaca"
"156","Amazona auropalliata"
"157","Amazona brasiliensis"
"158","Amazona collaria"
"159","Amazona dufresniana"
"160","Amazona farinosa"
"161","Amazona festiva"
"162","Amazona finschi"
"163","Amazona guildingii"
"164","Amazona kawalli"
"165","Amazona leucocephala"
"166","Amazona ochrocephala"
"167","Amazona oratrix"
"168","Amazona pretrei"
"169","Amazona rhodocorytha"
"170","Amazona tucumana"
"171","Amazona ventralis"
"172","Amazona versicolor"
"173","Amazona vinacea"
"174","Amazona viridigenalis"
"175","Amazona vittata"
"176","Amazonetta brasiliensis"
"177","Amblyornis inornata"
"178","Amblyornis macgregoriae"
"179","Amblyornis subalaris"
"180","Amblyospiza albifrons"
"181","Ammodramus aurifrons"
"182","Ammodramus bairdii"
"183","Ammodramus caudacutus"
"184","Ammodramus henslowii"
"185","Ammodramus humeralis"
"186","Ammodramus nelsoni"
"187","Ammomanes cinctura"
"188","Ammomanes phoenicura"
"189","Ammomanopsis grayi"
"190","Ampelion rubrocristatus"
"191","Ampelion rufaxilla"
"192","Amphispiza belli"
"193","Amphispiza bilineata"
"194","Amytornis ballarae"
"195","Amytornis dorotheae"
"196","Amytornis purnelli"
"197","Amytornis woodwardi"
"198","Anabazenops dorsalis"
"199","Anabazenops fuscus"
"200","Anairetes agilis"
"201","Anairetes agraphia"
"202","Anairetes alpinus"
"203","Anairetes flavirostris"
"204","Anairetes nigrocristatus"
"205","Anairetes parulus"
"206","Anairetes reguloides"
"207","Anas acuta"
"208","Anas americana"
"209","Anas aucklandica"
"210","Anas bahamensis"
"211","Anas castanea"
"212","Anas chlorotis"
"213","Anas clypeata"
"214","Anas crecca"
"215","Anas cyanoptera"
"216","Anas discors"
"217","Anas erythrorhyncha"
"218","Anas falcata"
"219","Anas flavirostris"
"220","Anas fulvigula"
"221","Anas georgica"
"222","Anas gracilis"
"223","Anas hottentota"
"224","Anas luzonica"
"225","Anas melleri"
"226","Anas platyrhynchos"
"227","Anas poecilorhyncha"
"228","Anas puna"
"229","Anas querquedula"
"230","Anas rhynchotis"
"231","Anas rubripes"
"232","Anas sibilatrix"
"233","Anas smithii"
"234","Anas strepera"
"235","Anas superciliosa"
"236","Anas undulata"
"237","Anas versicolor"
"238","Ancistrops strigilatus"
"239","Andigena cucullata"
"240","Andigena hypoglauca"
"241","Andigena laminirostris"
"242","Andropadus ansorgei"
"243","Andropadus gracilirostris"
"244","Andropadus gracilis"
"245","Andropadus latirostris"
"246","Andropadus masukuensis"
"247","Andropadus milanjensis"
"248","Andropadus montanus"
"249","Andropadus nigriceps"
"250","Andropadus tephrolaemus"
"251","Andropadus virens"
"252","Anhinga anhinga"
"253","Anhinga novaehollandiae"
"254","Anhinga rufa"
"255","Anisognathus igniventris"
"256","Anisognathus lacrymosus"
"257","Anisognathus melanogenys"
"258","Anisognathus notabilis"
"259","Anisognathus somptuosus"
"260","Anodorhynchus hyacinthinus"
"261","Anodorhynchus leari"
"262","Anorrhinus austeni"
"263","Anorrhinus tickelli"
"264","Anser albifrons"
"265","Anser anser"
"266","Anser brachyrhynchus"
"267","Anser cygnoides"
"268","Anser erythropus"
"269","Anser fabalis"
"270","Anser indicus"
"271","Anthocephala floriceps"
"272","Anthochaera carunculata"
"273","Anthochaera chrysoptera"
"274","Anthochaera lunulata"
"275","Anthochaera paradoxa"
"276","Anthracothorax prevostii"
"277","Anthracothorax veraguensis"
"278","Anthropoides paradiseus"
"279","Anthropoides virgo"
"280","Anumbius annumbi"
"281","Apaloderma aequatoriale"
"282","Apaloderma narina"
"283","Aphantochroa cirrochloris"
"284","Aphelocoma californica"
"285","Aphelocoma insularis"
"286","Aphelocoma ultramarina"
"287","Aphelocoma unicolor"
"288","Aphriza virgata"
"289","Aprosmictus erythropterus"
"290","Aprosmictus jonquillaceus"
"291","Apteryx australis"
"292","Apteryx haastii"
"293","Apteryx mantelli"
"294","Apteryx owenii"
"295","Aquila adalberti"
"296","Aquila africana"
"297","Aquila audax"
"298","Aquila chrysaetos"
"299","Aquila clanga"
"300","Aquila fasciatus"
"301","Aquila gurneyi"
"302","Aquila heliaca"
"303","Aquila pomarina"
"304","Aquila rapax"
"305","Arcanator orostruthus"
"306","Archboldia papuensis"
"307","Archilochus alexandri"
"308","Archilochus colubris"
"309","Ardea modesta"
"310","Ardeotis arabs"
"311","Ardeotis australis"
"312","Ardeotis kori"
"313","Ardeotis nigriceps"
"314","Arenaria interpres"
"315","Arenaria melanocephala"
"316","Argusianus argus"
"317","Arremonops chloronotus"
"318","Arremonops rufivirgatus"
"319","Arundinicola leucocephala"
"320","Astrapia mayeri"
"321","Astrapia nigra"
"322","Astrapia splendidissima"
"323","Astrapia stephaniae"
"324","Atelornis crossleyi"
"325","Atelornis pittoides"
"326","Athene brama"
"327","Athene cunicularia"
"328","Athene noctua"
"329","Attagis gayi"
"330","Attagis malouinus"
"331","Atticora melanoleuca"
"332","Attila citriniventris"
"333","Attila phoenicurus"
"334","Attila rufus"
"335","Attila spadiceus"
"336","Attila torridus"
"337","Aulacorhynchus coeruleicinctis"
"338","Aulacorhynchus derbianus"
"339","Aulacorhynchus haematopygus"
"340","Aulacorhynchus prasinus"
"341","Aulacorhynchus sulcatus"
"342","Automolus infuscatus"
"343","Automolus leucophthalmus"
"344","Automolus melanopezus"
"345","Automolus ochrolaemus"
"346","Automolus rufipileatus"
"347","Aythya affinis"
"348","Aythya americana"
